"Team","Year","oW","oL","cW","cL","stand","bowl","coachRank","apRank","sportsNetworkRank"
"Ole Miss",1995,6,5,3,5,5,"",NA,NA,NA
"Ole Miss",1996,5,6,2,6,5,"",NA,NA,NA
"Ole Miss",1997,8,4,4,4,3,"W Motor City",22,22,NA
"Ole Miss",1998,6,5,3,5,4,"Independence*",NA,NA,NA
"Auburn",1999,5,6,2,6,5,"",NA,NA,NA
"Auburn",2000,9,4,6,2,1,"L Citrus",20,18,NA
"Auburn",2001,7,5,5,3,1,"L Peach",NA,NA,NA
"Auburn",2002,9,4,5,3,1,"W Citrus",16,14,NA
"Auburn",2003,8,5,5,3,3,"W Music City",NA,NA,NA
"Auburn",2004,13,0,8,0,1,"W Sugar†",2,2,NA
"Auburn",2005,9,3,7,1,1,"L Capital One",14,14,NA
"Auburn",2006,11,2,6,2,2,"W Cotton",8,9,NA
"Auburn",2007,9,4,5,3,2,"W Chick-fil-A",14,15,NA
"Auburn",2008,5,7,2,6,4,"",NA,NA,NA
"Texas Tech",2010,8,5,3,5,5,"W TicketCity",NA,NA,NA
"Texas Tech",2011,5,7,2,7,9,"",NA,NA,NA
"Texas Tech",2012,7,5,4,5,5,"Meineke Car Care*",NA,NA,NA
"Cincinnati",2013,8,2,5,1,NA,"",NA,NA,NA
"Connecticut",2013,0,5,0,5,NA,"",NA,NA,NA
"Houston",2011,1,0,0,0,1,"W TicketCity",14,18,NA
"Houston",2012,5,7,4,4,NA,"",NA,NA,NA
"Houston",2013,7,3,4,2,NA,"",NA,NA,NA
"Florida",2004,0,1,0,0,NA,"L Peach",NA,NA,NA
"Louisville",2010,7,6,3,4,5,"W Beef 'O' Brady's",NA,NA,NA
"Louisville",2011,7,6,5,2,1,"L Belk",NA,NA,NA
"Louisville",2012,11,2,5,2,1,"W Sugar†",13,13,NA
"Louisville",2013,9,1,5,1,NA,"",NA,NA,NA
"Memphis",2012,4,8,4,4,3,"",NA,NA,NA
"Memphis",2013,3,6,1,4,NA,"",NA,NA,NA
"Rutgers",2012,9,4,5,2,1,"L Russell Athletic",NA,NA,NA
"Rutgers",2013,5,4,2,3,NA,"",NA,NA,NA
"Hawaii",1999,9,4,5,2,1,"W Oahu",NA,NA,NA
"Hawaii",2000,3,9,2,6,6,"",NA,NA,NA
"Hawaii",2001,9,3,5,3,4,"",NA,NA,NA
"Hawaii",2002,10,4,7,1,2,"L Hawaii",NA,NA,NA
"Hawaii",2003,9,5,5,3,4,"W Hawaii",NA,NA,NA
"Hawaii",2004,8,5,4,4,5,"W Hawaii",NA,NA,NA
"Hawaii",2005,5,7,4,4,5,"",NA,NA,NA
"Hawaii",2006,11,3,7,1,2,"W Hawaii",24,NA,NA
"Hawaii",2007,12,1,8,0,1,"L Sugar†",17,19,NA
"SMU",2008,1,11,0,8,6,"",NA,NA,NA
"SMU",2009,8,5,6,2,1,"W Hawaii",NA,NA,NA
"SMU",2010,7,7,6,2,1,"L Armed Forces",NA,NA,NA
"SMU",2011,8,5,5,3,3,"W BBVA Compass",NA,NA,NA
"SMU",2012,7,6,5,3,2,"W Hawaii",NA,NA,NA
"SMU",2013,4,5,3,2,NA,"",NA,NA,NA
"WKU",2010,2,10,2,6,9,"",NA,NA,NA
"WKU",2011,7,5,7,1,2,"",NA,NA,NA
"WKU",2012,7,5,4,4,5,"Little Caesars Pizza[n 1]",NA,NA,NA
"South Florida",2013,2,7,2,3,NA,"",NA,NA,NA
"Temple",2013,1,9,0,6,NA,"",NA,NA,NA
"Temple",2011,9,4,5,3,2,"W New Mexico",NA,NA,NA
"Temple",2012,4,7,2,5,6,"",NA,NA,NA
"Boston College",2013,6,4,3,3,NA,"",NA,NA,NA
"Clemson",2008,4,3,3,2,3,"L Gator",NA,NA,NA
"Clemson",2009,NA,NA,6,2,1,"W Music City",NA,24,NA
"Clemson",2010,1,9,4,4,4,"L Meineke Car Care",NA,NA,NA
"Clemson",2011,5,6,6,2,1,"L Orange†",22,22,NA
"Clemson",2012,7,10,7,1,1,"W Chick-fil-A",9,11,NA
"Clemson",2013,4,11,7,1,NA,"",NA,NA,NA
"Florida State",2010,10,4,6,2,1,"W Chick-Fil-A",16,17,NA
"Florida State",2011,9,4,5,3,2,"W Champs Sports",23,23,NA
"Florida State",2012,12,2,7,1,1,"W Orange†",8,10,NA
"Florida State",2013,10,0,8,0,1,"",NA,NA,NA
"Connecticut",1999,4,7,3,5,6,"",NA,NA,NA
"Connecticut",2000,3,8,NA,NA,NA,"",NA,NA,NA
"Connecticut",2001,2,9,NA,NA,NA,"",NA,NA,NA
"Connecticut",2002,6,6,NA,NA,NA,"",NA,NA,NA
"Connecticut",2003,9,3,NA,NA,NA,"",NA,NA,NA
"Connecticut",2004,8,4,3,3,5,"W Motor City",NA,NA,NA
"Connecticut",2005,5,6,2,5,6,"",NA,NA,NA
"Connecticut",2006,4,8,1,6,7,"",NA,NA,NA
"Connecticut",2007,9,4,5,2,1,"L Meineke Car Care",NA,NA,NA
"Connecticut",2008,8,5,3,4,5,"W International",NA,NA,NA
"Connecticut",2009,8,5,3,4,4,"W PapaJohns.com",NA,NA,NA
"Connecticut",2010,8,5,5,2,1,"L Fiesta†",NA,NA,NA
"Maryland",2011,2,10,1,7,6,"",NA,NA,NA
"Maryland",2012,4,8,2,6,5,"",NA,NA,NA
"Maryland",2013,6,4,2,4,NA,"",NA,NA,NA
"Southern Mississippi",2008,7,6,4,4,3,"W New Orleans",NA,NA,NA
"Southern Mississippi",2009,7,6,5,3,3,"L New Orleans",NA,NA,NA
"Southern Mississippi",2010,8,5,5,3,2,"L Beef 'O' Brady's",NA,NA,NA
"Southern Mississippi",2011,12,2,6,2,1,"W Hawai'i",19,20,NA
"North Carolina",2012,8,4,5,3,1,"‡",NA,NA,NA
"North Carolina",2013,5,5,4,3,NA,"",NA,NA,NA
"Northern Illinois",2011,11,3,7,1,1,"W GoDaddy.com",NA,NA,NA
"Northern Illinois",2012,12,1,8,0,1,"Orange*†",16,16,NA
"NC State",2013,3,7,0,7,NA,"",NA,NA,NA
"Pittsburgh",2012,6,7,3,4,5,"L BBVA Compass",NA,NA,NA
"Pittsburgh",2013,5,5,2,4,NA,"",NA,NA,NA
"Syracuse",2013,5,5,3,3,NA,"",NA,NA,NA
"Richmond",2008,13,3,6,2,3,"W FCS Championship",1,1,NA
"Richmond",2009,11,2,7,1,1,"L FCS Quarterfinals",4,4,NA
"Virginia",2010,4,8,1,7,5,"",NA,NA,NA
"Virginia",2011,8,5,5,3,2,"L Chick-fil-A",NA,NA,NA
"Virginia",2012,4,8,2,6,6,"",NA,NA,NA
"Virginia",2013,2,8,0,6,NA,"",NA,NA,NA
"Murray State",1981,8,3,5,3,2,"",NA,9,NA
"Murray State",1982,4,7,2,5,5,"",NA,NA,NA
"Murray State",1983,7,4,4,3,4,"",NA,NA,NA
"Murray State",1984,9,2,5,2,2,"",NA,13,NA
"Murray State",1985,7,3,5,2,2,"",NA,17,NA
"Murray State",1986,7,4,6,1,1,"L NCAA Division I–AA First Round",NA,18,NA
"Virginia Tech",1987,2,9,NA,NA,NA,"",NA,NA,NA
"Virginia Tech",1988,3,8,NA,NA,NA,"",NA,NA,NA
"Virginia Tech",1989,6,4,NA,NA,NA,"",NA,NA,NA
"Virginia Tech",1990,6,5,NA,NA,NA,"",NA,NA,NA
"Virginia Tech",1991,5,6,1,0,NA,"",NA,NA,NA
"Virginia Tech",1992,2,8,1,4,NA,"",NA,NA,NA
"Virginia Tech",1993,9,3,4,3,4,"W Independence",20,22,NA
"Virginia Tech",1994,8,4,5,2,2,"L Gator†",24,NA,NA
"Virginia Tech",1995,10,2,6,1,1,"W Sugar†",9,10,NA
"Virginia Tech",1996,10,2,6,1,1,"L Orange†",12,13,NA
"Virginia Tech",1997,7,5,5,2,2,"L Gator",NA,NA,NA
"Virginia Tech",1998,9,3,5,2,2,"W Music City",19,23,NA
"Virginia Tech",1999,11,1,7,0,1,"L Sugar†",3,2,NA
"Virginia Tech",2000,11,1,6,1,2,"W Gator",6,6,NA
"Virginia Tech",2001,8,4,4,3,3,"L Gator",18,18,NA
"Virginia Tech",2002,10,4,3,4,4,"W San Francisco",14,18,NA
"Virginia Tech",2003,8,5,4,3,4,"L Insight",NA,NA,NA
"Virginia Tech",2004,10,3,7,1,1,"L Sugar†",10,10,NA
"Virginia Tech",2005,11,2,7,1,1,"W Gator",7,7,NA
"Virginia Tech",2006,10,3,6,2,2,"L Chick-fil-A",18,19,NA
"Virginia Tech",2007,11,3,7,1,1,"L Orange†",9,9,NA
"Virginia Tech",2008,10,4,5,3,1,"W Orange†",14,15,NA
"Virginia Tech",2009,10,3,6,2,2,"W Chick-fil-A",10,10,NA
"Virginia Tech",2010,11,3,8,0,1,"L Orange†",15,16,NA
"Virginia Tech",2011,11,3,7,1,1,"L Sugar†",17,21,NA
"Virginia Tech",2012,7,6,4,4,4,"W Russell Athletic",NA,NA,NA
"Virginia Tech",2013,7,3,4,2,NA,"",NA,NA,NA
"Ohio",1995,2,8,1,6,9,"",NA,NA,NA
"Ohio",1996,6,6,5,3,4,"",NA,NA,NA
"Ohio",1997,8,3,6,2,2,"",NA,NA,NA
"Ohio",1998,5,6,5,3,3,"",NA,NA,NA
"Ohio",1999,5,6,5,3,3,"",NA,NA,NA
"Ohio",2000,7,4,5,3,3,"",NA,NA,NA
"Wake Forest",2001,6,5,3,5,7,"",NA,NA,NA
"Wake Forest",2002,7,6,3,5,7,"W Seattle",NA,NA,NA
"Wake Forest",2003,5,7,3,5,7,"",NA,NA,NA
"Wake Forest",2004,4,7,1,7,10,"",NA,NA,NA
"Wake Forest",2005,4,7,3,5,4,"",NA,NA,NA
"Wake Forest",2006,11,3,6,2,1,"L Orange†",17,18,NA
"Wake Forest",2007,9,4,5,3,2,"W Meineke Car Care",NA,NA,NA
"Wake Forest",2008,8,5,4,4,3,"W Eaglebank",NA,NA,NA
"Wake Forest",2009,5,7,3,5,4,"",NA,NA,NA
"Wake Forest",2010,3,9,1,7,6,"",NA,NA,NA
"Wake Forest",2011,6,7,5,3,2,"L Music City",NA,NA,NA
"Wake Forest",2012,5,7,3,5,4,"",NA,NA,NA
"Wake Forest",2013,4,6,2,5,NA,"",NA,NA,NA
"Houston",2003,7,6,4,4,6,"L Hawaiʻi",NA,NA,NA
"Houston",2004,3,8,3,5,5,"",NA,NA,NA
"Houston",2005,6,6,4,4,3,"L Fort Worth",NA,NA,NA
"Houston",2006,10,4,7,1,1,"L Liberty",NA,NA,NA
"Houston",2007,8,4,6,2,1,"Texas*",NA,NA,NA
"Baylor",2008,4,8,2,6,5,"",NA,NA,NA
"Baylor",2009,4,8,1,7,6,"",NA,NA,NA
"Baylor",2010,7,6,4,4,4,"L Texas",NA,NA,NA
"Baylor",2011,10,3,6,3,3,"W Alamo",12,13,NA
"Baylor",2012,8,5,4,5,5,"W Holiday",NA,NA,NA
"Baylor",2013,9,0,6,0,NA,"",NA,NA,NA
"Iowa State",2009,7,6,3,5,4,"W Insight",NA,NA,NA
"Iowa State",2010,5,7,3,5,3,"",NA,NA,NA
"Iowa State",2011,6,7,3,6,8,"L Pinstripe",NA,NA,NA
"Iowa State",2012,6,7,3,6,9,"L Liberty",NA,NA,NA
"Iowa State",2013,1,9,0,7,10,"",NA,NA,NA
"Kansas State",1989,1,10,0,7,8,"",NA,NA,NA
"Kansas State",1990,5,6,2,5,6,"",NA,NA,NA
"Kansas State",1991,7,4,4,3,4,"",NA,NA,NA
"Kansas State",1992,5,6,2,5,6,"",NA,NA,NA
"Kansas State",1993,9,2,4,2,3,"W Copper",18,20,NA
"Kansas State",1994,9,3,5,2,3,"L Aloha",16,19,NA
"Kansas State",1995,10,2,5,2,2,"W Holiday",6,7,NA
"Kansas State",1996,9,3,6,2,3,"L Cotton",17,17,NA
"Kansas State",1997,11,1,7,1,2,"W Fiesta†",7,8,NA
"Kansas State",1998,11,2,8,0,1,"L Alamo",9,10,NA
"Kansas State",1999,11,1,7,1,1,"W Holiday",6,6,NA
"Kansas State",2000,11,3,6,2,1,"W Cotton",8,9,NA
"Kansas State",2001,6,6,3,5,4,"L Insight.com",NA,NA,NA
"Kansas State",2002,11,2,6,2,2,"W Holiday",6,7,NA
"Kansas State",2003,11,4,6,2,1,"L Fiesta†",13,14,NA
"Kansas State",2004,4,7,2,6,5,"",NA,NA,NA
"Kansas State",2005,5,6,2,6,6,"",NA,NA,NA
"Kansas State",2009,6,6,4,4,2,"",NA,NA,NA
"Kansas State",2010,7,6,3,5,3,"L Pinstripe",NA,NA,NA
"Kansas State",2011,10,3,7,2,2,"L Cotton",16,15,NA
"Kansas State",2012,11,2,8,1,1,"L Fiesta†",11,12,NA
"Kansas State",2013,6,4,4,3,NA,"",NA,NA,NA
"Oklahoma",1999,7,5,5,3,2,"L Independence",NA,NA,NA
"Oklahoma",2000,13,0,8,0,1,"W Orange†",1,1,NA
"Oklahoma",2001,11,2,6,2,2,"W Cotton",6,6,NA
"Oklahoma",2002,12,2,6,2,1,"W Rose†",5,5,NA
"Oklahoma",2003,12,2,8,0,1,"L Sugar†",3,3,NA
"Oklahoma",2004,12,1,8,0,1,"L Orange†",3,3,NA
"Oklahoma",2005,8,4,6,2,2,"W Holiday",22,22,NA
"Oklahoma",2006,11,3,7,1,1,"L Fiesta†",11,11,NA
"Oklahoma",2007,11,3,6,2,1,"L Fiesta†",8,8,NA
"Oklahoma",2008,12,2,7,1,1,"L BCS NCG†",5,5,NA
"Oklahoma",2009,8,5,5,3,3,"W Sun",NA,NA,NA
"Oklahoma",2010,12,2,6,2,1,"W Fiesta†",6,6,NA
"Oklahoma",2011,10,3,6,3,3,"W Insight",15,16,NA
"Oklahoma",2012,10,3,8,1,1,"L Cotton",15,15,NA
"Oklahoma",2013,8,2,5,2,NA,"",NA,NA,NA
"Oklahoma State",2005,4,7,1,7,6,"",NA,NA,NA
"Oklahoma State",2006,7,6,3,5,5,"W Independence",NA,NA,NA
"Oklahoma State",2007,7,6,4,4,3,"W Insight",NA,NA,NA
"Oklahoma State",2008,9,4,5,3,4,"L Holiday",18,16,NA
"Oklahoma State",2009,9,4,6,2,2,"L Cotton",25,NA,NA
"Oklahoma State",2010,11,2,6,2,1,"W Alamo",10,13,NA
"Oklahoma State",2011,12,1,8,1,1,"W Fiesta†",3,3,NA
"Oklahoma State",2012,8,5,5,4,3,"W Heart of Dallas",NA,NA,NA
"Oklahoma State",2013,9,1,6,1,NA,"",NA,NA,NA
"TCU",2000,0,1,NA,NA,1,"L Mobile Alabama",18,21,NA
"TCU",2001,NA,NA,NA,1,5,"L Galleryfurniture.com",NA,NA,NA
"TCU",2002,1,6,4,3,1,"W Liberty",22,23,NA
"TCU",2003,6,10,6,2,2,"L Fort Worth",24,25,NA
"TCU",2004,2,11,7,1,6,"",NA,NA,NA
"TCU",2005,2,5,3,5,1,"W Houston",9,11,NA
"TCU",2006,6,11,8,0,2,"W Poinsettia",21,22,NA
"TCU",2007,1,11,6,2,5,"W Texas",NA,NA,NA
"TCU",2008,2,8,4,4,2,"W Poinsettia",7,7,NA
"TCU",2009,5,11,7,1,1,"L Fiesta†",6,6,NA
"TCU",2010,2,12,8,0,1,"W Rose†",2,2,NA
"TCU",2011,1,13,8,0,1,"W Poinsettia",13,14,NA
"TCU",2012,0,11,7,0,5,"L Buffalo Wild Wings",NA,NA,NA
"TCU",2013,2,7,4,5,NA,"",NA,NA,NA
"Appalachian State",1983,6,5,4,3,4,"",NA,NA,NA
"Tulane",1985,1,10,NA,NA,NA,"",NA,NA,NA
"Tulane",1986,4,7,NA,NA,NA,"",NA,NA,NA
"Tulane",1987,6,6,NA,NA,NA,"L Independence",NA,NA,NA
"North Carolina",1988,1,10,1,6,7,"",NA,NA,NA
"North Carolina",1989,1,10,0,7,8,"",NA,NA,NA
"North Carolina",1990,6,4,3,3,5,"",NA,NA,NA
"North Carolina",1991,7,4,3,4,5,"",NA,NA,NA
"North Carolina",1992,9,3,5,3,3,"W Peach",18,19,NA
"North Carolina",1993,10,3,6,2,2,"L Gator",21,19,NA
"North Carolina",1994,8,4,5,3,3,"L Sun",21,NA,NA
"North Carolina",1995,7,5,4,4,5,"W Carquest",NA,NA,NA
"North Carolina",1996,10,2,6,2,2,"W Gator",10,10,NA
"North Carolina",1997,10,1,7,1,2,"Invited to Gator**",6,4,NA
"Texas",1998,9,3,6,2,2,"W Cotton",16,15,NA
"Texas",1999,9,5,6,2,1,"L Cotton",23,21,NA
"Texas",2000,9,3,7,1,2,"L Holiday",12,12,NA
"Texas",2001,11,2,7,1,1,"W Holiday",5,5,NA
"Texas",2002,11,2,6,2,1,"W Cotton",7,6,NA
"Texas",2003,10,3,7,1,2,"L Holiday",11,12,NA
"Texas",2004,11,1,7,1,2,"W Rose†",4,5,NA
"Texas",2005,13,0,8,0,1,"W BCS NCG†",1,1,NA
"Texas",2006,10,3,6,2,2,"W Alamo",13,13,NA
"Texas",2007,10,3,5,3,2,"W Holiday",10,10,NA
"Texas",2008,12,1,7,1,1,"W Fiesta†",3,4,NA
"Texas",2009,13,1,8,0,1,"L BCS NCG†",2,2,NA
"Texas",2010,5,7,2,6,6,"",NA,NA,NA
"Texas",2011,8,5,4,5,6,"W Holiday",NA,NA,NA
"Texas",2012,9,4,5,4,3,"W Alamo",18,19,NA
"Texas",2013,7,2,6,0,NA,"",NA,NA,NA
"Texas Tech",2013,7,4,4,4,NA,"",NA,NA,NA
"West Virginia",2011,10,3,5,2,1,"W Orange†",18,17,NA
"West Virginia",2012,7,6,4,5,5,"L Pinstripe",NA,NA,NA
"West Virginia",2013,4,7,2,6,NA,"",NA,NA,NA
"Toledo",2009,5,7,3,5,4,"",NA,NA,NA
"Toledo",2010,8,5,7,1,2,"L Little Caesars Pizza",NA,NA,NA
"Toledo",2011,8,4,7,1,1,"Military[n 1]",NA,NA,NA
"Illinois",2012,NA,NA,0,8,6,"",NA,NA,NA
"Illinois",2013,1,2,0,6,NA,"",NA,NA,NA
"Indiana",2011,1,11,0,8,6,"",NA,NA,NA
"Indiana",2012,4,8,2,6,5,"",NA,NA,NA
"Indiana",2013,4,6,2,4,NA,"",NA,NA,NA
"Maine",1990,3,8,2,6,NA,"",NA,NA,NA
"Maine",1991,3,8,2,6,NA,"",NA,NA,NA
"Maine",1992,6,5,4,4,NA,"",NA,NA,NA
"Iowa",1999,1,10,0,8,11,"",NA,NA,NA
"Iowa",2000,3,9,3,5,8,"",NA,NA,NA
"Iowa",2001,7,5,4,4,4,"W Alamo",NA,NA,NA
"Iowa",2002,11,2,8,0,1,"L Orange†",8,8,NA
"Iowa",2003,10,3,5,3,4,"W Outback",8,8,NA
"Iowa",2004,10,2,7,1,1,"W Capital One",8,8,NA
"Iowa",2005,7,5,5,3,3,"L Outback",NA,NA,NA
"Iowa",2006,6,7,2,6,8,"L Alamo",NA,NA,NA
"Iowa",2007,6,6,4,4,5,"",NA,NA,NA
"Iowa",2008,9,4,5,3,4,"W Outback",20,20,NA
"Iowa",2009,11,2,6,2,2,"W Orange†",7,7,NA
"Iowa",2010,8,5,4,4,4,"W Insight",NA,NA,NA
"Iowa",2011,7,6,4,4,4,"L Insight",NA,NA,NA
"Iowa",2012,4,8,2,6,5,"",NA,NA,NA
"Iowa",2013,6,4,3,3,NA,"",NA,NA,NA
"Ball State",2003,4,8,3,5,4,"",NA,NA,NA
"Ball State",2004,2,9,2,6,6,"",NA,NA,NA
"Ball State",2005,4,7,4,4,5,"",NA,NA,NA
"Ball State",2006,5,7,5,3,3,"",NA,NA,NA
"Ball State",2007,7,6,5,2,2,"L International",NA,NA,NA
"Ball State",2008,12,1,8,0,1,"GMAC*",NA,NA,NA
"San Diego State",2009,4,8,2,6,7,"",NA,NA,NA
"San Diego State",2010,9,4,5,3,3,"W Poinsettia",NA,NA,NA
"Michigan",2011,11,2,6,2,2,"W Sugar†",9,12,NA
"Michigan",2012,8,5,6,2,2,"L Outback",NA,24,NA
"Michigan",2013,7,3,3,3,NA,"",NA,NA,NA
"Cincinnati",2004,7,5,5,3,2,"W Fort Worth",NA,NA,NA
"Cincinnati",2005,4,7,2,5,6,"",NA,NA,NA
